train_loss,epoch,step,valid_loss,valid_acc,train_acc
1.6881158351898193,0,49,,,
0.9624813199043274,0,99,,,
0.5474357008934021,0,149,,,
0.39319270849227905,0,199,,,
0.33834949135780334,0,249,,,
0.3218083083629608,0,299,,,
0.5051778554916382,0,349,,,
0.295502632856369,0,399,,,
0.3386395573616028,0,449,,,
0.3847167193889618,0,499,,,
0.4217384457588196,0,549,,,
0.2611565589904785,0,599,,,
0.24993790686130524,0,649,,,
0.21132561564445496,0,699,,,
0.22049255669116974,0,749,,,
0.20873898267745972,0,799,,,
0.3438173234462738,0,849,,,
,0,859,0.2985934913158417,0.9118000268936157,
,0,859,,,0.8479999899864197
0.33711719512939453,1,899,,,
0.22542521357536316,1,949,,,
0.17657136917114258,1,999,,,
0.35718870162963867,1,1049,,,
0.08779875189065933,1,1099,,,
0.296057790517807,1,1149,,,
0.17719776928424835,1,1199,,,
0.15375471115112305,1,1249,,,
0.10024385899305344,1,1299,,,
0.17167958617210388,1,1349,,,
0.1107732281088829,1,1399,,,
0.51734459400177,1,1449,,,
0.10930727422237396,1,1499,,,
0.3445429801940918,1,1549,,,
0.18540899455547333,1,1599,,,
0.18538157641887665,1,1649,,,
0.21472710371017456,1,1699,,,
,1,1719,0.2407153844833374,0.9269999861717224,
,1,1719,,,0.9254181981086731
0.3098997473716736,2,1749,,,
0.22373048961162567,2,1799,,,
0.19278258085250854,2,1849,,,
0.2448771744966507,2,1899,,,
0.17691664397716522,2,1949,,,
0.3205231726169586,2,1999,,,
0.2404756098985672,2,2049,,,
0.3294666111469269,2,2099,,,
0.2695178985595703,2,2149,,,
0.13635578751564026,2,2199,,,
0.1537843942642212,2,2249,,,
0.1692294180393219,2,2299,,,
0.21590399742126465,2,2349,,,
0.12377919256687164,2,2399,,,
0.21132968366146088,2,2449,,,
0.11556970328092575,2,2499,,,
0.1939040571451187,2,2549,,,
,2,2579,0.2137223333120346,0.9355999827384949,
,2,2579,,,0.940854549407959
0.11702536791563034,3,2599,,,
0.10339512676000595,3,2649,,,
0.13898886740207672,3,2699,,,
0.1359194964170456,3,2749,,,
0.24891525506973267,3,2799,,,
0.17807038128376007,3,2849,,,
0.1348431408405304,3,2899,,,
0.17471301555633545,3,2949,,,
0.08380479365587234,3,2999,,,
0.08043069392442703,3,3049,,,
0.14687605202198029,3,3099,,,
0.04397284612059593,3,3149,,,
0.25852566957473755,3,3199,,,
0.09412127733230591,3,3249,,,
0.17206047475337982,3,3299,,,
0.11753915995359421,3,3349,,,
0.18260887265205383,3,3399,,,
,3,3439,0.1966811567544937,0.9391999840736389,
,3,3439,,,0.9495090842247009
0.17924749851226807,4,3449,,,
0.10974694043397903,4,3499,,,
0.11477474868297577,4,3549,,,
0.18038196861743927,4,3599,,,
0.15171261131763458,4,3649,,,
0.23168529570102692,4,3699,,,
0.16685965657234192,4,3749,,,
0.10372376441955566,4,3799,,,
0.12163800746202469,4,3849,,,
0.1366884857416153,4,3899,,,
0.30080634355545044,4,3949,,,
0.2739642560482025,4,3999,,,
0.13288283348083496,4,4049,,,
0.055370815098285675,4,4099,,,
0.04844372346997261,4,4149,,,
0.1440211534500122,4,4199,,,
0.1516551822423935,4,4249,,,
0.35104620456695557,4,4299,,,
,4,4299,0.18610355257987976,0.9435999989509583,
,4,4299,,,0.9552727341651917
0.20466090738773346,5,4349,,,
0.25658828020095825,5,4399,,,
0.10250192135572433,5,4449,,,
0.10831914842128754,5,4499,,,
0.16364596784114838,5,4549,,,
0.0654483288526535,5,4599,,,
0.16586022078990936,5,4649,,,
0.2013535052537918,5,4699,,,
0.08580893278121948,5,4749,,,
0.11699558049440384,5,4799,,,
0.22362442314624786,5,4849,,,
0.11230737715959549,5,4899,,,
0.06987947225570679,5,4949,,,
0.08153335750102997,5,4999,,,
0.07579271495342255,5,5049,,,
0.09037065505981445,5,5099,,,
0.15409556031227112,5,5149,,,
,5,5159,0.17860645055770874,0.944599986076355,
,5,5159,,,0.9598181843757629
0.16117365658283234,6,5199,,,
0.11111710965633392,6,5249,,,
0.07990653812885284,6,5299,,,
0.14416205883026123,6,5349,,,
0.06995813548564911,6,5399,,,
0.14197926223278046,6,5449,,,
0.09423889219760895,6,5499,,,
0.1061803326010704,6,5549,,,
0.050713375210762024,6,5599,,,
0.09723006933927536,6,5649,,,
0.10108376294374466,6,5699,,,
0.4065549969673157,6,5749,,,
0.04288104549050331,6,5799,,,
0.16834989190101624,6,5849,,,
0.06226019188761711,6,5899,,,
0.03411766141653061,6,5949,,,
0.09446469694375992,6,5999,,,
,6,6019,0.1733880490064621,0.9453999996185303,
,6,6019,,,0.9635090827941895
0.16172702610492706,7,6049,,,
0.13518701493740082,7,6099,,,
0.1519157588481903,7,6149,,,
0.16413864493370056,7,6199,,,
0.08186578005552292,7,6249,,,
0.2119113653898239,7,6299,,,
0.1637338399887085,7,6349,,,
0.12702275812625885,7,6399,,,
0.17307424545288086,7,6449,,,
0.07974923402070999,7,6499,,,
0.07186325639486313,7,6549,,,
0.10779570788145065,7,6599,,,
0.11768481135368347,7,6649,,,
0.059229377657175064,7,6699,,,
0.08264881372451782,7,6749,,,
0.04684869572520256,7,6799,,,
0.12401676923036575,7,6849,,,
,7,6879,0.17126347124576569,0.9467999935150146,
,7,6879,,,0.9666908979415894
0.07881991565227509,8,6899,,,
0.03688138350844383,8,6949,,,
0.0597502738237381,8,6999,,,
0.07227419316768646,8,7049,,,
0.1790246218442917,8,7099,,,
0.09775333851575851,8,7149,,,
0.06814313679933548,8,7199,,,
0.04546142369508743,8,7249,,,
0.03588386997580528,8,7299,,,
0.0565912164747715,8,7349,,,
0.051792409271001816,8,7399,,,
0.02308240532875061,8,7449,,,
0.12790894508361816,8,7499,,,
0.0475492998957634,8,7549,,,
0.09239382296800613,8,7599,,,
0.0344916433095932,8,7649,,,
0.07894563674926758,8,7699,,,
,8,7739,0.16849231719970703,0.9490000009536743,
,8,7739,,,0.9691091179847717
0.09608107805252075,9,7749,,,
0.05856775864958763,9,7799,,,
0.08444984257221222,9,7849,,,
0.14730548858642578,9,7899,,,
0.07087824493646622,9,7949,,,
0.204663947224617,9,7999,,,
0.08023490756750107,9,8049,,,
0.048541150987148285,9,8099,,,
0.10615872591733932,9,8149,,,
0.1118636503815651,9,8199,,,
0.232841357588768,9,8249,,,
0.26705703139305115,9,8299,,,
0.08026567846536636,9,8349,,,
0.02643086388707161,9,8399,,,
0.02724119834601879,9,8449,,,
0.1374753713607788,9,8499,,,
0.08786676079034805,9,8549,,,
0.25987592339515686,9,8599,,,
,9,8599,0.16626232862472534,0.9488000273704529,
,9,8599,,,0.9707818031311035
